p = 12; number of cycles = 10000; data structure = Apache Data Sketches Java HLL4
true distinct count; minimum memory size; average memory size; maximum memory size; minimum serialization size; average serialization size; maximum serialization size; relative distinct count estimation bias; relative distinct count estimation rmse; estimated memory MVP; estimated serialization MVP
2486; 2296; 2321.1504; 2472; 2088; 2088.6164; 2100; -1.6110638929096264E-4; 0.012325591486784774; 2.821037166098569; 2.538424261574345
2610; 2296; 2322.1888; 2472; 2088; 2088.6448; 2100; -7.774460307672566E-5; 0.012367921856077872; 2.8417180006004568; 2.5559246194885366
2740; 2296; 2323.4912; 2472; 2088; 2088.6776; 2100; -4.819034627822459E-5; 0.012320609184512863; 2.821599583135709; 2.5364468113608063
2877; 2296; 2324.7408; 2472; 2088; 2088.7108; 2100; -4.13286455766677E-5; 0.012338784004017347; 2.8314522905221042; 2.5439760763429007
3020; 2296; 2326.0784; 2472; 2088; 2088.7468; 2100; -1.0742793042935128E-4; 0.012325744433489804; 2.827096629142875; 2.5386457470276866
3171; 2296; 2327.4688; 2472; 2088; 2088.7848; 2100; -1.2203093418312408E-4; 0.01227469092513229; 2.805401247924003; 2.5177048493903285
3329; 2296; 2328.7008; 2472; 2088; 2088.8224; 2100; -6.397457993680749E-5; 0.012279215610101608; 2.8089559570002027; 2.519606693824926
3495; 2296; 2330.1968; 2472; 2088; 2088.8604; 2100; -8.34328720056122E-5; 0.012294314551341307; 2.8176771449837936; 2.525852841331558
3669; 2296; 2331.5696; 2472; 2088; 2088.8972; 2100; -4.462924643944853E-5; 0.012256962253845701; 2.802231872910154; 2.5105724114230936
3852; 2296; 2333.488; 2472; 2088; 2088.9504; 2100; 7.71668364239726E-6; 0.012241685789087759; 2.797551016606392; 2.5043819874626867
4044; 2296; 2335.1248; 2472; 2088; 2089.0024; 2100; -1.2976374136101487E-6; 0.012222495041374463; 2.7907428628424076; 2.4965982710048986
4246; 2296; 2336.7264; 2472; 2088; 2089.0496; 2100; -6.017934966686255E-5; 0.012230209733002803; 2.796183454604758; 2.499807391814757
